scientific_name,display_name,common_name,taxon_id,assembly,accession,release,short_name
malurus_cyaneus_samueli,Superb fairywren,superb fairywren,2593467,mCya_1.0,GCA_009741485.1,106,msamueli
nomascus_leucogenys,Gibbon,Northern white-cheeked gibbon,61853,Nleu_3.0,GCA_000146795.3,106,nleucogenys
lepisosteus_oculatus,Spotted gar,Spotted gar,7918,LepOcu1,GCA_000242695.1,106,loculatus
apteryx_owenii,Little spotted kiwi,little spotted kiwi,8824,aptOwe1,GCA_003342965.1,106,aowenii
carassius_auratus,Goldfish,goldfish,7957,ASM336829v1,GCA_003368295.1,106,cauratus
lynx_canadensis,Canada lynx,Canada lynx,61383,mLynCan4_v1.p,GCA_007474595.1,106,lcanadensis
ictidomys_tridecemlineatus,Squirrel,thirteen-lined ground squirrel,43179,SpeTri2.0,GCA_000236235.1,106,itridecemlineatus
bubo_bubo,Eurasian eagle-owl,Eurasian eagle-owl,30461,BubBub1.0,GCA_010303855.1,106,bbubo
sus_scrofa_jinhua,Pig - Jinhua,pig,9823,Jinhua_pig_v1,GCA_001700295.1,106,sjinhua
oncorhynchus_kisutch,Coho salmon,coho salmon,8019,Okis_V2,GCA_002021735.2,106,okisutch
microcebus_murinus,Mouse Lemur,gray mouse lemur,30608,Mmur_3.0,GCA_000165445.3,106,mmurinus
scleropages_formosus,Asian bonytongue,Asian bonytongue,113540,fSclFor1.1,GCA_900964775.1,106,sformosus
dasypus_novemcinctus,Armadillo,nine-banded armadillo,9361,Dasnov3.0,GCA_000208655.2,106,dnovemcinctus
pygocentrus_nattereri,Red-bellied piranha,red-bellied piranha,42514,Pygocentrus_nattereri-1.0.2,GCA_001682695.1,106,pnattereri
procavia_capensis,Hyrax,cape rock hyrax,9813,proCap1,,106,pcapensis
anolis_carolinensis,Green anole,green anole,28377,AnoCar2.0v2,GCA_000090745.2,106,acarolinensis
mus_musculus_wsbeij,Mouse WSB/EiJ,mouse,10092,WSB_EiJ_v1,GCA_001624835.1,106,mwsbeij
gallus_gallus,Chicken,chicken,9031,GRCg6a,GCA_000002315.5,106,ggallus
mus_musculus_casteij,Mouse CAST/EiJ,mouse,10091,CAST_EiJ_v1,GCA_001624445.1,106,mcasteij
papio_anubis,Olive baboon,olive baboon,9555,Panubis1.0,GCA_008728515.1,106,panubis
stachyris_ruficeps,Rufous-capped babbler,rufous-capped babbler,181631,ASM869450v1,GCA_008694505.1,106,sruficeps
hucho_hucho,Huchen,huchen,62062,ASM331708v1,GCA_003317085.1,106,hhucho
chlorocebus_sabaeus,Vervet-AGM,African green monkey,60711,ChlSab1.1,GCA_000409795.2,106,csabaeus
piliocolobus_tephrosceles,Ugandan red Colobus,Ugandan red Colobus,591936,ASM277652v2,GCA_002776525.2,106,ptephrosceles
mus_musculus,Mouse,mouse,10090,GRCm39,GCA_000001635.9,106,mmusculus
falco_tinnunculus,Common kestrel,common kestrel,100819,FalTin1.0,GCA_010332995.1,106,ftinnunculus
anser_cygnoides,Swan goose,swan goose,8845,GooseV1.0,GCA_002166845.1,106,acygnoides
cottoperca_gobio,Channel bull blenny,channel bull blenny,56716,fCotGob3.1,GCA_900634415.1,106,cgobio
mus_musculus_nzohlltj,Mouse NZO/HlLtJ,mouse,10090,NZO_HlLtJ_v1,GCA_001624745.1,106,mnzohlltj
dicentrarchus_labrax,European seabass,European seabass,13489,dlabrax2021,GCA_905237075.1,106,dlabrax
mustela_putorius_furo,Ferret,Domestic ferret,9669,MusPutFur1.0,GCA_000215625.1,106,mfuro
cynoglossus_semilaevis,Tongue sole,tongue sole,244447,Cse_v1.0,GCA_000523025.1,106,csemilaevis
spermophilus_dauricus,Daurian ground squirrel,Daurian ground squirrel,99837,ASM240643v1,GCA_002406435.1,106,sdauricus
ursus_americanus,American black bear,American black bear,9643,ASM334442v1,GCA_003344425.1,106,uamericanus
mus_musculus_cbaj,Mouse CBA/J,mouse,10090,CBA_J_v1,GCA_001624475.1,106,mcbaj
colobus_angolensis_palliatus,Angola colobus,Angola colobus,336983,Cang.pa_1.0,GCA_000951035.1,106,cpalliatus
apteryx_haastii,Great spotted kiwi,Great spotted kiwi,8823,aptHaa1,GCA_003342985.1,106,ahaastii
numida_meleagris,Helmeted guineafowl,helmeted guineafowl,8996,NumMel1.0,GCA_002078875.2,106,nmeleagris
mandrillus_leucophaeus,Drill,Drill,9568,Mleu.le_1.0,GCA_000951045.1,106,mleucophaeus
gadus_morhua,Atlantic cod,Atlantic cod,8049,gadMor3.0,GCA_902167405.1,106,gmorhua
saimiri_boliviensis_boliviensis,Bolivian squirrel monkey,Bolivian squirrel monkey,39432,SaiBol1.0,GCA_000235385.1,106,sboliviensis
monodon_monoceros,Narwhal,narwhal,40151,NGI_Narwhal_1,GCA_005190385.2,106,mmonoceros
octodon_degus,Degu,Degu,10160,OctDeg1.0,GCA_000260255.1,106,odegus
pogona_vitticeps,Central bearded dragon,central bearded dragon,103695,pvi1.1,GCA_900067755.1,106,pvitticeps
peromyscus_maniculatus_bairdii,Northern American deer mouse,Northern American deer mouse,230844,HU_Pman_2.1,GCA_003704035.1,106,pbairdii
neovison_vison,American mink,American mink,452646,NNQGG.v01,GCA_900108605.1,106,nvison
gouania_willdenowi,Blunt-snouted clingfish,blunt-snouted clingfish,441366,fGouWil2.1,GCA_900634775.1,106,gwilldenowi
maylandia_zebra,Zebra mbuna,zebra mbuna,106582,M_zebra_UMD2a,GCA_000238955.5,106,mzebra
sciurus_vulgaris,Eurasian red squirrel,Eurasian red squirrel,55149,mSciVul1.1,GCA_902686455.1,106,svulgaris
rhinolophus_ferrumequinum,Greater horseshoe bat,greater horseshoe bat,59479,mRhiFer1_v1.p,GCA_004115265.2,106,rferrumequinum
pan_paniscus,Bonobo,bonobo,9597,panpan1.1,GCA_000258655.2,106,ppaniscus
petromyzon_marinus,Lamprey,sea lamprey,7757,Pmarinus_7.0,,106,pmarinus
lonchura_striata_domestica,Bengalese finch,Bengalese finch,299123,LonStrDom1,GCA_002197715.1,106,ldomestica
phascolarctos_cinereus,Koala,koala,38626,phaCin_unsw_v4.1,GCA_002099425.1,106,pcinereus
chrysolophus_pictus,Golden pheasant,golden pheasant,9089,Chrysolophus_pictus_GenomeV1.0,GCA_003413605.1,106,cpictus
amphiprion_ocellaris,Clown anemonefish,clown anemonefish,80972,AmpOce1.0,GCA_002776465.1,106,aocellaris
leptobrachium_leishanense,Leishan spiny toad,Leishan spiny toad,445787,ASM966780v1,GCA_009667805.1,106,lleishanense
crocodylus_porosus,Australian saltwater crocodile,Australian saltwater crocodile,8502,CroPor_comp1,GCA_001723895.1,106,cporosus
tupaia_belangeri,Tree Shrew,northern tree shrew,37347,TREESHREW,,106,tbelangeri
mus_pahari,Shrew mouse,Shrew mouse,10093,PAHARI_EIJ_v1.1,GCA_900095145.2,106,mpahari
sus_scrofa_rongchang,Pig - Rongchang,pig,9823,Rongchang_pig_v1,GCA_001700155.1,106,srongchang
pundamilia_nyererei,Makobe Island cichlid,Makobe Island cichlid,303518,PunNye1.0,GCA_000239375.1,106,pnyererei
scophthalmus_maximus,Turbot,turbot,52904,ASM1334776v1,GCA_013347765.1,106,smaximus
castor_canadensis,American beaver,American beaver,51338,C.can_genome_v1.0,GCA_001984765.1,106,ccanadensis
cyanistes_caeruleus,Blue tit,blue tit,156563,cyaCae2,GCA_002901205.1,106,ccaeruleus
ornithorhynchus_anatinus,Platypus,platypus,9258,mOrnAna1.p.v1,GCA_004115215.2,106,oanatinus
astyanax_mexicanus_pachon,Pachon cavefish,Pachon cavefish,7994,Astyanax_mexicanus-1.0.2,GCA_004802775.1,106,apachon
balaenoptera_musculus,Blue whale,Blue whale,9771,mBalMus1.v2,GCA_009873245.2,106,bmusculus
