"Common name","Scientific name","Taxon ID","Ensembl Assembly","Accession","Genebuild Method","Variation database","Regulation database"
"Abingdon island giant tortoise","Chelonoidis abingdonii","106734","ASM359739v1","GCA_003597395.1","Full genebuild","-","-"
"African ostrich","Struthio camelus australis","441894","ASM69896v1","GCA_000698965.1","Full genebuild","-","-"
"Agassiz's desert tortoise","Gopherus agassizii","38772","ASM289641v1","GCA_002896415.1","Full genebuild","-","-"
"Algerian mouse","Mus spretus","10096","SPRET_EiJ_v1","GCA_001624865.1","External annotation import","-","Y"
"Alpaca","Vicugna pacos","30538","vicPac1","-","Projection build","-","-"
"Alpine marmot","Marmota marmota marmota","9994","marMar2.1","GCA_001458135.1","Full genebuild","-","-"
"Amazon molly","Poecilia formosa","48698","Poecilia_formosa-5.1.2","GCA_000485575.1","Full genebuild","-","-"
"American beaver","Castor canadensis","51338","C.can_genome_v1.0","GCA_001984765.1","Full genebuild","-","-"
"American bison","Bison bison bison","43346","Bison_UMD1.0","GCA_000754665.1","Full genebuild","-","-"
"American black bear","Ursus americanus","9643","ASM334442v1","GCA_003344425.1","Full genebuild","-","-"
"American mink","Neovison vison","452646","NNQGG.v01","GCA_900108605.1","Full genebuild","Y","-"
"Angola colobus","Colobus angolensis palliatus","336983","Cang.pa_1.0","GCA_000951035.1","Full genebuild","-","Y"
"Arabian camel","Camelus dromedarius","9838","CamDro2","GCA_000803125.2","Full genebuild","-","-"
"Arctic ground squirrel","Urocitellus parryii","9999","ASM342692v1","GCA_003426925.1","Full genebuild","-","-"
"Argentine black and white tegu","Salvator merianae","96440","HLtupMer3","GCA_003586115.1","Full genebuild","-","-"
"Armadillo","Dasypus novemcinctus","9361","Dasnov3.0","GCA_000208655.2","Mixed strategy build","-","-"
"Asian bonytongue","Scleropages formosus","113540","fSclFor1.1","GCA_900964775.1","Full genebuild","-","-"
"Asiatic black bear","Ursus thibetanus thibetanus","441215","ASM966005v1","GCA_009660055.1","Full genebuild","-","-"
"Atlantic cod","Gadus morhua","8049","gadMor3.0","GCA_902167405.1","Full genebuild","-","-"
"Atlantic herring","Clupea harengus","7950","Ch_v2.0.2","GCA_900700415.1","Full genebuild","-","-"
"Atlantic salmon","Salmo salar","8030","ICSASG_v2","GCA_000233375.4","Full genebuild","Y","-"
"Australian saltwater crocodile","Crocodylus porosus","8502","CroPor_comp1","GCA_001723895.1","Full genebuild","-","-"
"Ballan wrasse","Labrus bergylta","56723","BallGen_V1","GCA_900080235.1","Full genebuild","-","-"
"Barramundi perch","Lates calcarifer","8187","ASB_HGAPassembly_v1","GCA_900066035.1","Full genebuild","-","-"
"Beluga whale","Delphinapterus leucas","9749","ASM228892v3","GCA_002288925.3","Full genebuild","-","-"
"Bengalese finch","Lonchura striata domestica","299123","LonStrDom1","GCA_002197715.1","Full genebuild","-","-"
"Bicolor damselfish","Stegastes partitus","144197","Stegastes_partitus-1.0.2","GCA_000690725.1","Full genebuild","-","-"
"Black snub-nosed monkey","Rhinopithecus bieti","61621","ASM169854v1","GCA_001698545.1","Full genebuild","-","Y"
"Blind barbel","Sinocyclocheilus anshuiensis","1608454","SAMN03320099.WGS_v1.1","GCA_001515605.1","Full genebuild","-","-"
"Blue tilapia","Oreochromis aureus","47969","ASM587006v1","GCA_005870065.1","Full genebuild","-","-"
"Blue tit","Cyanistes caeruleus","156563","cyaCae2","GCA_002901205.1","Full genebuild","-","-"
"Blue whale","Balaenoptera musculus","9771","mBalMus1.v2","GCA_009873245.2","Full genebuild","-","-"
"Blue-crowned manakin","Lepidothrix coronata","321398","Lepidothrix_coronata-1.0","GCA_001604755.1","Full genebuild","-","-"
